Locus tag,in cgMLST ?,Length,EC number,KO number,Gene Name,Function,N_allele,CDS,Pseudogene,missing,% presence,% pseudogenes,,,,
SG_RS05285,pseudogene,213,,,,hypothetical protein,38,197,43,2904,8%,18%,,,,
SG_RS06000,pseudogene,429,,,,hypothetical protein,194,388,297,2459,22%,43%,,,,
SG_RS10175,pseudogene,474,,,,exported protein,58,246,141,2757,12%,36%,,,,
SG_RS22420,pseudogene,612,,,,septum formation inhibitor Maf,15,59,6,3079,2%,9%,,,,
SINFA_RS01510,pseudogene,345,,,,hypothetical protein,155,42,1142,1960,38%,96%,,,,
SINFA_RS06415,pseudogene,1047,,,,hypothetical protein,19,47,11,3086,2%,19%,,,,
SINFA_RS06460,pseudogene,171,,,,NinF,75,153,42,2949,6%,22%,,,,
SINFA_RS06585,pseudogene,255,,,,hypothetical protein,3,14,1,3129,0%,7%,,,,
SLT-BT0021,pseudogene,900,,,srgB,putative outer membrane protein,64,182,268,2694,14%,60%,,,,
SLT-BT0031,pseudogene,654,,K03673,srgA,putative thiol-disulfide isomerase or thioredoxin (plasmid),42,356,130,2658,15%,27%,,,,
SLT-BT0051,pseudogene,213,,,pefI,plasmid-encoded fimbriae,24,432,29,2683,15%,6%,,,,
SLT-BT0141,pseudogene,522,,,,DNA polymerase III subunit epsilon,62,401,176,2567,18%,31%,,,,
SLT-BT0161,pseudogene,552,,,,cyclic diguanylate phosphodiesterase,16,230,174,2740,13%,43%,,,,
SLT-BT0181,pseudogene,630,,,,hypothetical protein,23,376,28,2740,13%,7%,,,,
SLT-BT0241,pseudogene,768,,K19556,spvA,mkfD,50,426,42,2676,15%,9%,,,,
SLT-BT0271,pseudogene,969,,,,putative phosphoribulokinase / uridine kinase family,36,397,27,2720,13%,6%,,,,
SLT-BT0581,pseudogene,489,,,,"putative cytoplasmic protein, partial",59,510,33,2601,17%,6%,,,,
SLT-BT0593,pseudogene,414,,,,hypothetical protein,66,413,151,2580,18%,27%,,,,
SLT-BT0594,pseudogene,567,,,,hypothetical protein,98,262,356,2526,20%,58%,,,,
SLT-BT0631,pseudogene,1275,,K03502,samB,mutagenesis by UV and mutagens; related to umuDC operon,330,847,273,2024,36%,24%,,,,
SLT-BT0641,pseudogene,423,3.4.21.-,K03503,samA,protein related to umudc operon,229,822,139,2183,31%,14%,,,,
SLT-BT0671,pseudogene,681,2.1.1.72,K00571,,DNA methylase,268,830,55,2259,28%,6%,,,,
SLT-BT0672,pseudogene,414,,,,hypothetical protein,113,350,196,2598,17%,36%,,,,
SLT-BT0711,pseudogene,324,2.7.7.7,K02345,holE,DNA polymerase III subunit theta,78,275,149,2720,13%,35%,,,,
SLT-BT0741,pseudogene,1998,,K03497,parB,putative ParB-like nuclease domain protein,165,452,31,2661,15%,6%,,,,
SLT-BT0771,pseudogene,471,,,finP,lytic transglycosylase,111,460,96,2588,18%,17%,,,,
SLT-BT0791,pseudogene,687,,,traJ,conjugal transfer transcriptional regulator TraJ,59,266,135,2743,13%,34%,,,,
SLT-BT0801,pseudogene,321,,,traY,relaxosome protein TraY,50,189,215,2740,13%,53%,,,,
SLT-BT0861,pseudogene,597,,,traP,"conjugal transfer protein TraP, partial",111,310,128,2706,14%,29%,,,,
SLT-BT0881,pseudogene,516,,K12064,traV,"conjugal transfer protein TraV, partial",118,423,120,2601,17%,22%,,,,
SLT-BT0911,pseudogene,2649,,K12063,traC,type IV conjugative transfer system protein TraC,155,308,95,2741,13%,24%,,,,
SLT-BT0951,pseudogene,309,,,,conjugative transfer protein,49,299,32,2813,11%,10%,,,,
SLT-BT0962,pseudogene,420,,,,HNH endonuclease,48,308,22,2814,10%,7%,,,,
SLT-BT1021,pseudogene,2823,,K12056,traG,conjugal transfer protein TraG,162,316,97,2731,13%,23%,,,,
SLT-BT1031,pseudogene,489,,,traS,traS,30,215,43,2886,8%,17%,,,,
SLT-BT1101,pseudogene,285,,,,DSBA oxidoreductase,79,196,341,2607,17%,64%,,,,
SN31241_RS03230,pseudogene,207,,,,transposase,4,0,5,3139,0%,100%,,,,
SN31241_RS03245,pseudogene,576,,,,hypothetical protein,5,6,1,3137,0%,14%,,,,
SN31241_RS03280,pseudogene,1020,3.1.5.1,K01129,dgt,deoxyguanosinetriphosphate triphosphohydrolase,2,2,1,3141,0%,33%,,,,
SNSL254_RS00020,pseudogene,282,,,,hypothetical protein,5,40,5,3099,1%,11%,,,,
SNSL254_RS00160,pseudogene,336,,,,hypothetical protein,6,32,12,3100,1%,27%,,,,
SNSL254_RS00220,pseudogene,306,,,,LysR family transcriptional regulator,2,38,29,3077,2%,43%,,,,
SNSL254_RS00255,pseudogene,312,,,,hypothetical protein,5,41,3,3100,1%,7%,,,,
SNSL254_RS00280,pseudogene,378,,,,hypothetical protein,6,41,3,3100,1%,7%,,,,
SNSL254_RS00300,pseudogene,333,,,,hypothetical protein,4,39,3,3102,1%,7%,,,,
SNSL254_RS00310,pseudogene,1428,2.1.1.37,K00558,dcm,DNA methyltransferase,5,39,3,3102,1%,7%,,,,
SNSL254_RS00640,pseudogene,1626,2.1.1.37,K00558,dcm,DNA methyltransferase,5,17,7,3120,1%,29%,,,,
SNSL254_RS00760,pseudogene,1236,,,,transposase,2,11,1,3132,0%,8%,,,,
SNSL254_RS00795,pseudogene,861,,,,transposition protein TniB,7,30,11,3103,1%,27%,,,,
SNSL254_RS00855,pseudogene,1005,,,,transposase,16,42,73,3029,4%,63%,,,,
SNSL254_RS00905,pseudogene,1011,,,,integrase,11,55,4,3085,2%,7%,,,,
SNSL254_RS00995,pseudogene,1533,,,,hypothetical protein,6,9,8,3127,1%,47%,,,,
SNSL254_RS02540,pseudogene,483,,,,Phosphotriesterase,43,199,332,2613,17%,63%,,,,
SNSL254_RS02590,pseudogene,498,,,,Saf-pilin pilus formation protein SafA,370,860,201,2083,34%,19%,,,,
SNSL254_RS06475,pseudogene,249,,,,hypothetical protein,28,146,10,2988,5%,6%,,,,
SNSL254_RS06480,pseudogene,603,,,,restriction endonuclease subunit M,39,123,22,2999,5%,15%,,,,
SNSL254_RS06505,pseudogene,294,,,,phage protein,40,155,10,2979,5%,6%,,,,
SNSL254_RS06625,pseudogene,1068,,,,putative bacteriophage protein,66,79,61,3004,4%,44%,,,,
SNSL254_RS06630,pseudogene,333,,,,putative secreted protein,49,148,34,2962,6%,19%,,,,
SNSL254_RS09040,pseudogene,189,,,,hypothetical protein,102,1011,202,1931,39%,17%,,,,
SNSL254_RS10220,pseudogene,456,,,,membrane protein,152,906,99,2139,32%,10%,,,,
SNSL254_RS10590,pseudogene,210,,,,methyl-accepting chemotaxis sensory transducer,28,46,405,2693,14%,90%,,,,
SNSL254_RS10600,pseudogene,204,,,,"fimbrial outer membrane usher protein StdB, partial",38,377,75,2692,14%,17%,,,,
SNSL254_RS10605,pseudogene,1011,,,,acyltransferase,55,335,36,2773,12%,10%,,,,
SNSL254_RS15045,pseudogene,1194,,,,integrase,79,143,240,2761,12%,63%,,,,
SNSL254_RS21620,pseudogene,432,,,,hypothetical protein,11,45,7,3092,2%,13%,,,,
SNSL254_RS21670,pseudogene,510,3.2.1.17,K01185,,glycoside hydrolase,20,48,9,3087,2%,16%,,,,
SNSL254_RS21760,pseudogene,417,,,,hypothetical protein,14,47,6,3091,2%,11%,,,,
SNSL254_RS23860,pseudogene,2550,,,,DEAD/DEAH box helicase,12,31,3,3110,1%,9%,,,,
SNSL254_RS23890,pseudogene,222,,,,hypothetical protein,23,65,33,3046,3%,34%,,,,
SPA_RS01785,pseudogene,744,,K09968,,hypothetical protein,23,228,84,2832,10%,27%,,,,
SPA_RS01795,pseudogene,516,,,,putative outer membrane lipoprotein,90,749,110,2285,27%,13%,,,,
SPA_RS03610,pseudogene,537,,,,hypothetical protein,56,195,13,2936,7%,6%,,,,
SPA_RS03630,pseudogene,498,,,,hypothetical protein,29,86,126,2932,7%,59%,,,,
SPA_RS03880,pseudogene,1032,5.1.3.10,K12454,rfbE,CDP-paratose 2-epimerase,34,20,485,2639,16%,96%,,,,
SPA_RS05935,pseudogene,888,,,,hypothetical protein,121,127,488,2529,20%,79%,,,,
SPA_RS07825,pseudogene,216,,,,hypothetical protein,94,677,56,2411,23%,8%,,,,
SPA_RS08075,pseudogene,273,,,,hypothetical protein,150,27,537,2580,18%,95%,,,,
SPA_RS09310,pseudogene,531,,,,"putative type V secretory pathway, adhesin AidA",60,198,25,2921,7%,11%,,,,
SPA_RS12020,pseudogene,249,,,,Mnt,21,174,116,2854,9%,40%,,,,
SPA_RS12220,pseudogene,588,,,,superinfection exclusion,64,169,126,2849,9%,43%,,,,
SPA_RS13155,pseudogene,243,,,,hypothetical protein,7,35,12,3097,1%,26%,,,,
SPA_RS13270,pseudogene,1023,,,,"phage major capsid protein, P2 family",159,412,132,2600,17%,24%,,,,
SPA_RS13320,pseudogene,228,,,,hypothetical protein,55,342,29,2773,12%,8%,,,,
SPA_RS13335,pseudogene,1014,,,,recombinase,16,25,38,3081,2%,60%,,,,
SPA_RS17450,pseudogene,1242,,,,MFS transporter,33,73,107,2964,6%,59%,,,,
SPA_RS19020,pseudogene,702,,,,CarD family transcriptional regulator,239,1095,118,1931,39%,10%,,,,
SPA_RS21750,pseudogene,567,,,,phage polarity suppression protein,205,892,67,2185,31%,7%,,,,
SPA_RS21790,pseudogene,150,,,,hypothetical protein,32,110,55,2979,5%,33%,,,,
SPA_RS21860,pseudogene,6321,,,,DEAD/DEAH box helicase,56,118,106,2920,7%,47%,,,,
SPA_RS22215,pseudogene,492,,K07491,,transposase,83,359,126,2659,15%,26%,,,,
SPA_RS22790,pseudogene,267,,,,L-asparaginase precursor,28,165,14,2965,6%,8%,,,,
SPA_RS22795,pseudogene,180,,,,molybdopterin-guanine dinucleotide biosynthesis protein MobA,134,599,996,1549,51%,62%,,,,
SPAB_RS00940,pseudogene,2607,,K07347,fimD,putative fimbrial outer membrane usher protein,292,815,59,2270,28%,7%,,,,
SPAB_RS04240,pseudogene,717,,,,hypothetical protein,111,282,24,2838,10%,8%,,,,
SPAB_RS04310,pseudogene,267,,,,predicted protein,60,215,18,2911,7%,8%,,,,
SPAB_RS04645,pseudogene,183,,,,hypothetical protein,18,89,73,2982,5%,45%,,,,
SPAB_RS04655,pseudogene,1401,,,,hypothetical protein,24,122,12,3010,4%,9%,,,,
SPAB_RS04665,pseudogene,4584,,K03632,mukB,cell division protein MukB,42,106,27,3011,4%,20%,,,,
SPAB_RS04735,pseudogene,1263,,,,integrase,152,368,118,2658,15%,24%,,,,
SPAB_RS05405,pseudogene,183,,,,Tail fiber assembly protein homolog from lambdoid prophage Rac,93,113,490,2541,19%,81%,,,,
SPAB_RS09025,pseudogene,603,,,,bacteriophage protein,12,30,13,3101,1%,30%,,,,
SPAB_RS09195,pseudogene,519,,,,unknown,138,17,595,2532,19%,97%,,,,
SPAB_RS10940,pseudogene,924,,,,LysR family transcriptional regulator,137,538,59,2547,19%,10%,,,,
SPAB_RS13990,pseudogene,1776,,K06915,,hypothetical protein,22,46,10,3088,2%,18%,,,,
SPAB_RS18960,pseudogene,417,,,,restriction methylase,115,456,1083,1605,49%,70%,,,,
SPAB_RS21705,pseudogene,201,,,,hypothetical protein,178,2119,212,813,74%,9%,,,,
SPAB_RS21770,pseudogene,552,,K03111,ssb,single-stranded DNA-binding protein,3,3,1,3140,0%,25%,,,,
SPAB_RS21875,pseudogene,2112,,,,"conjugative coupling factor TraD, PFGI-1 class",3,2,1,3141,0%,33%,,,,
SPAB_RS21980,pseudogene,612,,,,KfrAs,58,86,23,3035,3%,21%,,,,
SPAB_RS22125,pseudogene,240,,,,hypothetical protein,2,1,2,3141,0%,67%,,,,
SPAB_RS23080,pseudogene,1425,2.1.1.37,K00558,dcm,DNA cytosine methyltransferase,72,302,36,2806,11%,11%,,,,
SPAB_RS23085,pseudogene,1209,,,,type II restriction enzyme EcoRII,69,222,76,2846,9%,26%,,,,
SPC_0567,pseudogene,237,,,,hypothetical protein,158,2651,474,19,99%,15%,,,,
SPC_RS06295,pseudogene,582,,,,"dTDP-6-deoxy-D-glucose-3,5-epimerase",30,32,21,3091,2%,40%,,,,
SPC_RS06315,pseudogene,402,,,,chromosome partitioning protein ParB,112,370,31,2743,13%,8%,,,,
SPC_RS06365,pseudogene,315,,,,superinfection exclusion protein,28,182,50,2912,7%,22%,,,,
SPC_RS06420,pseudogene,588,,,,P21 prophage-derived protein NinB,24,34,4,3106,1%,11%,,,,
SPC_RS06510,pseudogene,2199,,,,portal protein,37,53,11,3080,2%,17%,,,,
SPC_RS06530,pseudogene,462,,,,head DNA stabilization protein,30,57,7,3080,2%,11%,,,,
SPC_RS07895,pseudogene,867,,,,Armadillo-like helical,86,257,41,2846,9%,14%,,,,
SPC_RS10885,pseudogene,273,,,,hypothetical protein,229,11,863,2270,28%,99%,,,,
SPC_RS18225,pseudogene,1254,,,,alpha-ketoglutarate permease,65,157,11,2976,5%,7%,,,,
SPC_RS19525,pseudogene,426,,,,hypothetical protein,15,122,17,3005,4%,12%,,,,
SPC_RS21930,pseudogene,951,,,,putative transposase,83,193,100,2851,9%,34%,,,,
SPC_RS22020,pseudogene,327,,,,integrative conjugative element protein%2C RAQPRD family,19,51,99,2994,5%,66%,,,,
SPC_RS22100,pseudogene,243,,,,possible exported protein,27,149,28,2967,6%,16%,,,,
SPC_RS23045,pseudogene,849,,,,replication protein,22,48,25,3071,2%,34%,,,,
SPN1S_0004,pseudogene,171,,,,unnamed protein product,5,13,5,3126,1%,28%,,,,
SPN1S_0020,pseudogene,141,,,,putative integral membrane protein,10,44,3,3097,1%,6%,,,,
SPN1S_0021,pseudogene,384,,,,unnamed protein product,62,16,82,3046,3%,84%,,,,
SPN1S_0034,pseudogene,159,,,,phage protein,33,59,5,3080,2%,8%,,,,
SPN9CC_0019,pseudogene,1230,,,,P63C domain,19,8,105,3031,4%,93%,,,,
SPUL_RS09200,pseudogene,207,,,,hypothetical protein,45,56,157,2931,7%,74%,,,,
SSPA0283,pseudogene,231,,,,putative periplasmic protein,122,2952,189,3,100%,6%,,,,
SSU5_046,pseudogene,213,,,,hypothetical protein,20,12,23,3109,1%,66%,,,,
SSU5_051,pseudogene,204,,,,hypothetical protein,16,32,3,3109,1%,9%,,,,
SSU5_088,pseudogene,618,,,,phage N-6-adenine-methyltransferase,10,10,2,3132,0%,17%,,,,
SSU5_090,pseudogene,765,3.1.26.4,K03469,rnhA,ribonuclease HI,21,1,27,3116,1%,96%,,,,
SSU5_097,pseudogene,282,,,,hypothetical protein,17,21,7,3116,1%,25%,,,,
SSU5_101,pseudogene,699,,,,hypothetical protein,5,5,1,3138,0%,17%,,,,
SSU5_104,pseudogene,237,,,,hypothetical protein,15,5,19,3120,1%,79%,,,,
SSU5_108,pseudogene,240,,,,hypothetical protein,28,1,33,3110,1%,97%,,,,
SSU5_109,pseudogene,198,,,,hypothetical protein,6,0,8,3136,0%,100%,,,,
SSU5_118,pseudogene,123,,,,hypothetical protein,22,1,31,3112,1%,97%,,,,
ST64Tp48,pseudogene,357,,,,Uncharacterized 9.0 kDa protein in gp15-gp3 intergenic region ORF80,38,237,22,2885,8%,8%,,,,
STBHUCCB_RS14210,pseudogene,285,,,,transposase,197,571,2180,393,88%,79%,,,,
STBHUCCB_RS24170,pseudogene,372,,,,hypothetical protein,4,10,5,3129,0%,33%,,,,
STL3553_RS24720,pseudogene,774,,,,hypothetical protein,2,9,1,3134,0%,10%,,,,
STM04865,pseudogene,186,,,,hypothetical protein,65,256,48,2840,10%,16%,,,,
STM04870,pseudogene,195,,,,hypothetical protein,85,253,50,2841,10%,17%,,,,
STM04890,pseudogene,192,,,,hypothetical protein,8,85,10,3049,3%,11%,,,,
STM0657,pseudogene,696,,,,putative cytoplasmic protein,271,1891,130,1123,64%,6%,,,,
STM0897,pseudogene,417,,,,hypothetical protein,118,123,198,2823,10%,62%,,,,
STM0901,pseudogene,969,,K06919,,DNA primase,91,219,36,2889,8%,14%,,,,
STM0909,pseudogene,492,,,,phage terminase small subunit,115,858,69,2217,29%,7%,,,,
STM0928,pseudogene,1239,3.2.1.18,K01186,,sialidase,49,73,16,3055,3%,18%,,,,
STM14_RS00300,pseudogene,189,,,,hypothetical protein,133,385,309,2450,22%,45%,,,,
STM14_RS00375,pseudogene,291,,,,"unnamed protein product, partial (plasmid)",83,388,167,2589,18%,30%,,,,
STM14_RS06850,pseudogene,468,,,,conserved hypothetical protein,34,143,14,2987,5%,9%,,,,
STM1548.s,pseudogene,1080,,,,S-adenosylmethionine tRNA ribosyltransferase,591,1973,762,409,87%,28%,,,,
STM1549,pseudogene,390,,,,putative translation initiation inhibitor,205,1645,124,1375,56%,7%,,,,
STM1637,pseudogene,1551,,,,membrane protein,762,2531,387,226,93%,13%,,,,
STM1671,pseudogene,858,,,,putative transcriptional regulator (pseudogene),520,2807,198,139,96%,7%,,,,
STM1869,pseudogene,534,,,,"phage-tail assembly-like protein, partial",105,1455,257,1432,54%,15%,,,,
STM2680,pseudogene,606,,,,Putative cytoplasmic protein,278,2266,201,677,78%,8%,,,,
STM2695,pseudogene,1101,,K06905,,phage late control D family protein,281,745,62,2337,26%,8%,,,,
STM2702,pseudogene,558,,,,DNA invertase from prophage CP-933H,170,316,302,2526,20%,49%,,,,
STM2703,pseudogene,1080,,,,Fels-2 prophage Pin,40,55,14,3075,2%,20%,,,,
STM2711,pseudogene,447,,,,phage virion morphogenesis protein,137,469,85,2590,18%,15%,,,,
STM2727,pseudogene,306,,,,DNA damage-inducible protein DinI,93,240,324,2580,18%,57%,,,,
STM2729,pseudogene,2430,,,,replication endonuclease from prophage-like region,217,159,294,2691,14%,65%,,,,
STM2739,pseudogene,1026,,,,integrase,130,495,72,2577,18%,13%,,,,
STM2740,pseudogene,1065,,,,integrase,51,369,124,2651,16%,25%,,,,
STM3637,pseudogene,1080,,,,long polar fimbrial protein LpfD,205,1594,124,1426,55%,7%,,,,
STM3745,pseudogene,852,,,,putative cytoplasmic protein,141,813,56,2275,28%,6%,,,,
STM3753,pseudogene,1191,,,,putative DNA double-strand break repair Rad50 ATPase,191,547,818,1779,43%,60%,,,,
STM4196,pseudogene,729,,,,hypothetical protein,151,1497,96,1551,51%,6%,,,,
STM474_RS13975,pseudogene,375,,,,membrane protein,14,108,19,3017,4%,15%,,,,
STM474_RS24255,pseudogene,348,,,,hypothetical protein,39,97,23,3024,4%,19%,,,,
STM474_RS24265,pseudogene,261,,,,hypothetical protein,51,84,130,2930,7%,61%,,,,
STM474_RS24280,pseudogene,633,,K03496,parA,partition protein parA,15,22,15,3107,1%,41%,,,,
STMDT12_RS01820,pseudogene,774,,,,"antitermination protein, partial",53,219,26,2899,8%,11%,,,,
STMDT12_RS19560,pseudogene,435,4.2.1.11,K01689,eno,phosphopyruvate hydratase,3,22,2,3120,1%,8%,,,,
STMDT12_RS19620,pseudogene,294,,,,hypothetical protein,2,2,1,3141,0%,33%,,,,
STMDT12_RS24330,pseudogene,861,2.3.1.81,K19277,aac,AAC(3) family aminoglycoside 3-N-acetyltransferase,3,8,1,3135,0%,11%,,,,
STMMW_00181,pseudogene,2997,,,,chitinase,1002,2777,227,140,96%,8%,,,,
STMMW_00221,pseudogene,2622,,K07347,bcfC,outer membrane usher protein FimD,1050,2868,195,81,97%,6%,,,,
STMMW_00301,pseudogene,1005,,,,Putative LysR family transcriptional regulator,402,1763,438,943,70%,20%,,,,
STMMW_00311,pseudogene,441,,,,Putative transcription regulator,302,1951,237,956,70%,11%,,,,
STMMW_00371,pseudogene,1191,,K06871,,anaerobic sulfatase maturase,519,2129,936,79,97%,31%,,,,
STMMW_00381,pseudogene,1254,,,,Putative cytoplasmic protein,562,1524,1541,79,97%,50%,,,,
STMMW_00511,pseudogene,1203,,,,putative nitrite reductase,497,2673,179,292,91%,6%,,,,
STMMW_00691,pseudogene,3228,6.3.5.5,K01955,carB,carbamoyl phosphate synthase large subunit,983,2872,261,11,100%,8%,,,,
STMMW_00771,pseudogene,771,,K03521,fixA,putative electron transfer flavoprotein subunit beta,465,2877,261,6,100%,8%,,,,
STMMW_00811,pseudogene,1425,,K08368,yaaU,metabolite transporter,645,2293,702,149,95%,23%,,,,
STMMW_00871,pseudogene,195,,,,membrane protein,200,2267,552,325,90%,20%,,,,
STMMW_00881,pseudogene,1890,,,,sulfatase,867,2912,189,43,99%,6%,,,,
STMMW_01051,pseudogene,303,,,,putative inner membrane protein,65,675,158,2311,26%,19%,,,,
STMMW_01871,pseudogene,855,6.3.2.1,K01918,panC,pantoate--beta-alanine ligase,519,2904,220,20,99%,7%,,,,
STMMW_02391,pseudogene,1764,,,,chitinase class I,871,2935,204,5,100%,6%,,,,
STMMW_02421,pseudogene,1212,6.3.4.19,K04075,mesJ,tRNA lysidine(34) synthetase TilS,705,2903,240,1,100%,8%,,,,
STMMW_02551,pseudogene,915,,,yafC,LysR family transcriptional regulator,525,2811,249,84,97%,8%,,,,
STMMW_02751,pseudogene,111,,,,invasol SirA,39,1647,130,1367,57%,7%,,,,
STMMW_02881,pseudogene,774,,,sciQ,Putative inner membrane protein,383,1843,251,1050,67%,12%,,,,
STMMW_02891,pseudogene,444,,,sciR,SciR Shiga-like toxin A subunit,182,1588,370,1186,62%,19%,,,,
STMMW_02901,pseudogene,3870,,K11891,sciS,type VI secretion protein IcmF,740,1935,140,1069,66%,7%,,,,
STMMW_02911,pseudogene,789,,K11890,sciT,Putative cytoplasmic protein,148,665,132,2347,25%,17%,,,,
STMMW_02931,pseudogene,522,,,sciV,"SPI-6 associated protein, partial",164,1713,139,1292,59%,8%,,,,
STMMW_02961,pseudogene,4095,,,rhs,type IV secretion protein Rhs,77,182,113,2849,9%,38%,,,,
STMMW_03041,pseudogene,276,,K19048,symE,hypothetical protein,154,762,693,1689,46%,48%,,,,
STMMW_03051,pseudogene,309,,,,conserved hypothetical pathogenicity island protein,215,317,1734,1093,65%,85%,,,,
STMMW_03071,pseudogene,198,,K07497,,transposase,103,2140,196,808,74%,8%,,,,
STMMW_03133,pseudogene,132,,,,transposase,86,2246,295,603,81%,12%,,,,
STMMW_03351,pseudogene,351,,,xis,excisionase,179,339,457,2348,25%,57%,,,,
STMMW_03371,pseudogene,285,,,EaG,RNA-binding protein,57,224,22,2898,8%,9%,,,,
STMMW_03411,pseudogene,645,,,EaF,BTP1 predicted prophage protein,24,56,13,3075,2%,19%,,,,
STMMW_03422,pseudogene,171,,,,prophage protein,207,727,67,2350,25%,8%,,,,
STMMW_03481,pseudogene,183,,,cIII,lambda Phage CIII,81,149,354,2641,16%,70%,,,,
STMMW_03491,pseudogene,147,,,,predicted prophage protein,35,262,138,2744,13%,35%,,,,
STMMW_03571,pseudogene,834,,,O,DNA replication protein gp18,76,186,16,2942,6%,8%,,,,
STMMW_03621,pseudogene,195,,,,predicted prophage protein,33,96,30,3018,4%,24%,,,,
STMMW_03641,pseudogene,183,,,ninE,protein ninE,361,395,593,2156,31%,60%,,,,
STMMW_03691,pseudogene,519,,,Q,late gene antiterminator protein,69,181,14,2949,6%,7%,,,,
STMMW_04121,pseudogene,501,,,,inner membrane protein,279,2648,212,284,91%,7%,,,,
STMMW_04321,pseudogene,225,,,,putative inner membrane protein,265,932,2089,123,96%,69%,,,,
STMMW_04532,pseudogene,162,,,,hypothetical protein,157,1034,2101,9,100%,67%,,,,
STMMW_04971,pseudogene,861,,K11083,phnU,2-aminoethylphosphonate ABC transporter permease subunit,424,1852,892,400,87%,33%,,,,
STMMW_05081,pseudogene,1512,,K07126,,periplasmic protein,542,1978,235,931,70%,11%,,,,
STMMW_05091,pseudogene,1284,,K07126,,"tetratricopeptide repeat protein, partial",200,1132,380,1632,48%,25%,,,,
STMMW_05391,pseudogene,261,,K02909,rpmE2,50S ribosomal protein L31 type B,110,2872,271,1,100%,9%,,,,
STMMW_05491,pseudogene,936,,,,transposase,628,2631,463,50,98%,15%,,,,
STMMW_05641,pseudogene,1653,,K11751,ushA,bifunctional UDP-sugar hydrolase/5'-nucleotidase,877,2935,208,1,100%,7%,,,,
STMMW_05671,pseudogene,828,,,,Secreted protein,533,2226,665,253,92%,23%,,,,
STMMW_05911,pseudogene,1035,,K10975,allP,allantoin permease,422,0,2294,850,73%,100%,,,,
STMMW_06241,pseudogene,927,,,gtrBa,bactoprenol glucosyl transferase,230,1104,379,1661,47%,26%,,,,
STMMW_06491,pseudogene,705,,K02362,entD,enterobactin synthase component D,575,2856,284,4,100%,9%,,,,
STMMW_06711,pseudogene,903,,,ybdO,LysR family transcriptional regulator,563,2454,656,34,99%,21%,,,,
STMMW_07251,pseudogene,1239,,,,putative conserved hypothetical protein,451,1861,171,1112,65%,8%,,,,
STMMW_07531,pseudogene,282,,,ybfE,LexA regulated protein,70,122,3022,0,100%,96%,,,,
STMMW_07721,pseudogene,132,,,,hypothetical protein,64,1524,344,1276,59%,18%,,,,
STMMW_07741,pseudogene,336,,,,probable membrane protein STY0757,159,1628,252,1264,60%,13%,,,,
STMMW_07761,pseudogene,1152,5.4.99.9,K01854,glf,putative udp-galactopyranose mutase,344,1653,143,1348,57%,8%,,,,
STMMW_07791,pseudogene,771,,K09690,,O-antigen export system permease rfbA,222,1698,109,1337,57%,6%,,,,
STMMW_07811,pseudogene,1779,,,,glycosyltransferase cell wall biogenesis,389,1536,178,1430,55%,10%,,,,
STMMW_07831,pseudogene,1895,,,,putative glycosyl transferase,443,1507,136,1501,52%,8%,,,,
STMMW_07881,pseudogene,372,,,,membrane protein,142,2879,265,0,100%,8%,,,,
STMMW_08511,pseudogene,174,,,,putative cytoplasmic protein,129,1992,965,187,94%,33%,,,,
STMMW_08521,pseudogene,2298,,,slrP,leucine-rich repeat protein SlrP,804,2012,1008,124,96%,33%,,,,
STMMW_08621,pseudogene,561,,,,membrane protein,296,2065,161,918,71%,7%,,,,
STMMW_08741,pseudogene,975,,,ybiB,DNA-binding protein YbiB,674,2804,339,1,100%,11%,,,,
STMMW_08891,pseudogene,1593,,,ybiT,ABC-F family ATPase,696,1361,1777,6,100%,57%,,,,
STMMW_09121,pseudogene,681,,,yliI,Soluble aldose sugar dehydrogenase yliI,195,928,1142,1074,66%,55%,,,,
STMMW_09201,pseudogene,621,,,,DeoR family transcriptional regulator,388,2721,305,118,96%,10%,,,,
STMMW_09331,pseudogene,1131,2.1.1.189,K03212,rumB,23S rRNA (uracil(747)-C(5))-methyltransferase RlmC,316,1164,115,1865,41%,9%,,,,
STMMW_09821,pseudogene,327,,,,cytoplasmic protein,294,1277,1771,96,97%,58%,,,,
STMMW_09831,pseudogene,960,,,sopD2,pathogenicity island 1 protein SopD2,570,2883,225,36,99%,7%,,,,
STMMW_10131,pseudogene,1215,4.3.1.15,K01751,dpaL,Putative diaminopropionate ammonia-lyase,362,1971,128,1045,67%,6%,,,,
STMMW_10141,pseudogene,1437,,K03310,,Putative ion:amino acid symporter,399,831,1266,1047,67%,60%,,,,
STMMW_10221,pseudogene,261,,,,predicted prophage protein,62,398,26,2720,13%,6%,,,,
STMMW_10281,pseudogene,312,,,,bacteriophage protein,21,322,109,2713,14%,25%,,,,
STMMW_10541,pseudogene,498,,K11934,ompX,Ail/OmpX,37,554,142,2448,22%,20%,,,,
STMMW_10551,pseudogene,534,1.15.1.1,K04565,sodCa,Superoxide dismutase [Cu-Zn] 1,71,837,192,2115,33%,19%,,,,
STMMW_10591,pseudogene,3351,,,,"host specificity protein J, partial",487,850,126,2168,31%,13%,,,,
STMMW_10611,pseudogene,582,,,,"bacteriophage tail fiber assembly protein, partial",343,962,591,1591,49%,38%,,,,
STMMW_10671,pseudogene,288,,,,predicted prophage protein,30,432,327,2385,24%,43%,,,,
STMMW_11011,pseudogene,321,,,,conserved hypothetical inner membrane protein,298,1753,1104,287,91%,39%,,,,
