V1,n_syn,n_nonsyn
STMMW_33041_1,683,2233
STMMW_33021_1,187,587
STMMW_33581_1,335,1078
STMMW_32981_1,329,1102
STMMW_33001_1,797,2722
STMMW_33211_1,354,1122
STMMW_33281_1,669,2121
STMMW_33401_1,362,1141
STMMW_33461_1,269,946
STMMW_33191_1,980,3322
STMMW_33331_1,905,2938
STMMW_33441_1,307,980
STMMW_33151_1,419,1282
STMMW_33371_1,1130,3343
STMMW_33171_1,368,1297
STMMW_33231_1,190,629
STMMW_33111_1,610,1739
STMMW_33351_1,684,1944
STMMW_33131_1,756,2052
STMMW_33091_1,439,1469
STMMW_33271_1,1611,5400
STMMW_33221_1,613,1952
STMMW_33071_1,182,700
STMMW_33051_1,197,667
STMMW_33031_1,212,724
STMMW_33571_1,725,2092
STMMW_32991_1,1044,3258
STMMW_33591_1,182,610
STMMW_33291_1,3229,10154
STMMW_33431_1,294,885
STMMW_33601_1,179,622
STMMW_33411_1,450,1467
STMMW_33471_1,1003,3101
STMMW_33251_1,525,1662
STMMW_33181_1,533,1645
STMMW_33451_1,815,2560
STMMW_33141_1,719,2242
STMMW_33361_1,533,1537
STMMW_33161_1,396,1332
STMMW_33341_1,311,1093
STMMW_33301_1,988,3269
STMMW_33101_1,405,1251
STMMW_33121_1,594,1845
STMMW_33381_1,635,2047
STMMW_33241_1,456,1443
STMMW_33821_1,677,2221
STMMW_34081_1,731,2239
STMMW_33691_1,444,1338
STMMW_33921_1,389,1276
STMMW_34121_1,74,277
STMMW_33951_1,443,1276
STMMW_34101_1,257,742
STMMW_33791_1,167,562
STMMW_34161_1,379,1133
STMMW_34141_1,356,949
STMMW_33611_1,176,643
STMMW_33631_1,695,2104
STMMW_33651_1,680,2110
STMMW_33671_1,2637,8505
STMMW_33991_1,353,1177
STMMW_33761_1,450,1350
STMMW_34011_1,913,2957
STMMW_33741_1,726,2199
STMMW_34021_1,979,3152
STMMW_33941_1,597,1860
STMMW_33721_1,782,2350
STMMW_33701_1,353,1123
STMMW_34111_1,265,806
STMMW_34071_1,283,869
STMMW_34091_1,442,1421
STMMW_34131_1,981,3015
STMMW_33681_1,1029,3381
STMMW_33781_1,943,3107
STMMW_34171_1,275,787
STMMW_33811_1,628,2018
STMMW_34151_1,138,402
STMMW_33851_1,97,398
STMMW_34051_1,285,993
STMMW_33971_1,301,1121
STMMW_33621_1,1438,4466
STMMW_33641_1,150,462
STMMW_33981_1,835,2540
STMMW_33661_1,1067,3271
STMMW_34001_1,705,2139
STMMW_33801_1,1142,3214
STMMW_33771_1,331,1082
STMMW_33751_1,702,2313
STMMW_33911_1,166,500
STMMW_33731_1,1414,4409
STMMW_34061_1,248,859
STMMW_34501_1,382,1274
STMMW_34311_1,446,1372
STMMW_34331_1,234,702
STMMW_34601_1,404,1288
STMMW_34351_1,302,1129
STMMW_34631_1,405,1314
STMMW_34611_1,414,1395
STMMW_34261_1,507,1599
STMMW_34451_1,578,1879
STMMW_34671_1,611,1819
STMMW_34241_1,173,592
STMMW_34242_1,139,437
STMMW_34471_1,409,1364
STMMW_34651_1,1810,5822
STMMW_34221_1,218,727
STMMW_34411_1,208,656
STMMW_34201_1,216,702
STMMW_34431_1,286,875
STMMW_34591_1,870,2784
STMMW_34571_1,436,1463
STMMW_34181_1,408,1194
STMMW_34381_1,1488,4857
STMMW_34551_1,611,1999
STMMW_34531_1,755,2449
STMMW_34281_1,194,643
STMMW_34511_1,1338,4386
STMMW_34301_1,218,691
STMMW_34321_1,466,1424
STMMW_34341_1,352,1052
STMMW_34481_1,118,485
STMMW_34621_1,117,387
STMMW_34361_1,114,471
STMMW_34441_1,483,1686
STMMW_34191_1,283,896
STMMW_34661_1,213,768
STMMW_34271_1,242,757
STMMW_34461_1,148,509
STMMW_34641_1,864,2682
STMMW_34251_1,300,933
STMMW_34401_1,290,835
STMMW_34421_1,265,806
STMMW_34681_1,1039,3083
STMMW_34211_1,375,1245
STMMW_34231_1,269,847
STMMW_34581_1,1520,4744
STMMW_34291_1,617,1849
STMMW_34391_1,352,1061
STMMW_34561_1,288,927
STMMW_34541_1,144,513
STMMW_34521_1,197,739
STMMW_34881_1,616,2039
STMMW_35271_1,1456,5105
STMMW_35041_1,1632,5550
STMMW_35251_1,898,2990
STMMW_34821_1,574,1766
STMMW_35151_1,1064,3463
STMMW_35131_1,577,1916
STMMW_34841_1,417,1374
STMMW_34861_1,467,1540
STMMW_35301_1,1047,2976
STMMW_35321_1,720,2268
STMMW_35401_1,1240,3989
STMMW_34751_1,942,2892
STMMW_34921_1,520,1640
STMMW_35341_1,720,2394
STMMW_34771_1,364,1202
STMMW_34901_1,1150,3710
STMMW_34711_1,680,2335
STMMW_34961_1,1703,5254
STMMW_34731_1,492,1542
STMMW_34941_1,1702,5282
STMMW_35031_1,1459,4778
STMMW_35051_1,1841,6277
STMMW_34891_1,1274,3856
STMMW_35261_1,1382,4549
STMMW_34791_1,274,932
STMMW_35241_1,1051,3251
STMMW_35281_1,801,2520
STMMW_34811_1,405,1215
STMMW_35141_1,208,773
STMMW_35011_1,406,1322
STMMW_35121_1,523,1754
STMMW_34831_1,1823,5908
STMMW_34991_1,550,1763
STMMW_34851_1,1414,4580
STMMW_34871_1,271,935
STMMW_35311_1,369,1233
STMMW_34931_1,309,1113
STMMW_35331_1,459,1629
STMMW_34741_1,562,1949
STMMW_34911_1,871,2837
STMMW_34761_1,823,2444
STMMW_34971_1,164,547
STMMW_34703_1,118,395
STMMW_34951_1,167,517
STMMW_34721_1,549,1728
STMMW_35231_1,1674,5670
STMMW_35001_1,507,1545
STMMW_35021_1,974,2833
STMMW_36011_1,660,2130
STMMW_35781_1,1020,3102
STMMW_35521_1,683,2098
STMMW_35501_1,571,1733
STMMW_35741_1,837,2538
STMMW_35761_1,802,2402
STMMW_35541_1,267,885
STMMW_35701_1,987,2775
STMMW_35831_1,1401,4728
STMMW_35721_1,426,1311
STMMW_35631_1,258,858
STMMW_35581_1,795,2373
STMMW_35851_1,573,1956
STMMW_35441_1,618,1920
STMMW_35681_1,478,1520
STMMW_35461_1,876,3075
STMMW_35661_1,1155,3777
STMMW_35621_1,185,634
STMMW_35641_1,484,1397
STMMW_35421_1,544,1679
STMMW_35991_1,1512,4671
STMMW_35971_1,724,2363
STMMW_35601_1,1021,3407
STMMW_35951_1,390,1419
STMMW_36021_1,1042,3422
STMMW_35931_1,1129,3641
STMMW_36001_1,557,1747
STMMW_36041_1,1374,4386
STMMW_35791_1,232,776
STMMW_35531_1,776,2554
STMMW_35511_1,970,2864
STMMW_35751_1,1996,6077
STMMW_35571_1,579,1986
STMMW_35801_1,301,1004
STMMW_35711_1,789,2361
STMMW_35451_1,659,2005
STMMW_35731_1,275,931
STMMW_35591_1,491,1516
STMMW_35691_1,392,1282
STMMW_35861_1,954,3105
STMMW_35671_1,173,565
STMMW_35411_1,262,989
STMMW_35651_1,1732,4865
STMMW_35431_1,787,2426
STMMW_35981_1,1061,2908
STMMW_35611_1,440,1351
STMMW_35961_1,664,2036
STMMW_35491_1,519,1623
STMMW_35921_1,1120,3830
STMMW_36031_1,967,2894
STMMW_36901_1,171,585
STMMW_36461_1,195,714
STMMW_36921_1,1085,3550
STMMW_36251_1,1144,3932
STMMW_36071_1,1408,4370
STMMW_36441_1,1519,4691
STMMW_36211_1,1026,3645
STMMW_36401_1,372,1248
STMMW_36891_1,317,1087
STMMW_36091_1,554,1705
STMMW_36391_1,141,498
STMMW_36371_1,487,1646
STMMW_36111_1,1087,3629
STMMW_36351_1,485,1405
STMMW_36831_1,328,1094
STMMW_36331_1,282,1041
STMMW_36481_1,1040,3325
STMMW_36811_1,542,1789
STMMW_36311_1,484,1631
STMMW_36871_1,587,1879
STMMW_36191_1,714,1995
STMMW_36501_1,809,2728
STMMW_36711_1,1042,3134
STMMW_36521_1,1367,4717
STMMW_36771_1,238,851
STMMW_36541_1,329,1093
STMMW_36751_1,417,1356
STMMW_36911_1,302,994
STMMW_36931_1,905,2947
STMMW_36061_1,761,2569
STMMW_36471_1,714,2274
STMMW_36451_1,622,2114
STMMW_36201_1,778,2282
STMMW_36881_1,755,2305
STMMW_36081_1,1907,5968
STMMW_36381_1,190,683
STMMW_36161_1,923,2974
STMMW_36821_1,890,2683
STMMW_36341_1,1648,5354
STMMW_36121_1,146,430
STMMW_36321_1,366,1380
STMMW_36491_1,881,3088
STMMW_36681_1,1066,3551
STMMW_36511_1,559,1916
STMMW_36721_1,443,1384
STMMW_36531_1,873,2880
STMMW_36701_1,1362,4191
STMMW_36941_1,682,2207
STMMW_36741_1,833,2614
STMMW_37231_1,533,1618
STMMW_37251_1,632,1942
STMMW_37011_1,679,2183
STMMW_37271_1,486,1368
STMMW_37071_1,630,2412
STMMW_37291_1,411,1461
STMMW_37551_1,645,2181
STMMW_37391_1,989,3160
STMMW_37761_1,993,3183
STMMW_37181_1,471,1527
STMMW_37371_1,1232,3898
STMMW_37351_1,960,2658
STMMW_37531_1,497,1591
STMMW_37331_1,1531,4715
STMMW_37641_1,901,3248
STMMW_37311_1,1456,4880
STMMW_36991_1,617,2182
STMMW_37101_1,544,1850
STMMW_37121_1,711,2394
STMMW_36951_1,697,2408
STMMW_37141_1,328,1112
STMMW_37081_1,680,2560
STMMW_36971_1,718,2360
STMMW_37161_1,113,391
STMMW_37201_1,349,1019
STMMW_37221_1,467,1459
STMMW_37021_1,828,2817
STMMW_37241_1,582,2010
STMMW_37001_1,749,2392
STMMW_37061_1,635,2398
STMMW_37281_1,1180,3878
STMMW_37541_1,720,1989
STMMW_37041_1,531,1899
STMMW_37381_1,1545,5412
STMMW_37561_1,549,1683
STMMW_37361_1,1096,3080
STMMW_37191_1,897,2775
STMMW_37521_1,1960,6221
STMMW_37751_1,314,1045
STMMW_37321_1,479,1591
STMMW_37301_1,199,629
STMMW_37651_1,942,2640
STMMW_36981_1,861,2730
STMMW_37111_1,769,2606
STMMW_37131_1,922,2714
STMMW_37631_1,188,694
STMMW_37151_1,585,1845
STMMW_37211_1,424,1367
STMMW_37171_1,177,534
STMMW_38501_1,1021,3128
STMMW_37781_1,1174,3335
STMMW_38091_1,733,2390
STMMW_37901_1,784,2474
STMMW_38211_1,730,2492
STMMW_38251_1,274,806
STMMW_38271_1,1114,3827
STMMW_38071_1,771,2784
STMMW_37961_1,269,775
STMMW_37981_1,287,1000
STMMW_38371_1,452,1546
STMMW_37821_1,617,2146
STMMW_37801_1,701,2341
STMMW_38461_1,1361,4129
STMMW_38011_1,891,2790
STMMW_37861_1,78,210
STMMW_37841_1,189,684
STMMW_38471_1,973,3140
STMMW_38491_1,299,961
STMMW_38391_1,529,1793
STMMW_37881_1,684,1899
STMMW_38351_1,429,1326
STMMW_38231_1,996,3207
STMMW_37791_1,451,1322
STMMW_38081_1,514,1565
STMMW_38221_1,797,2506
STMMW_38201_1,1704,5541
STMMW_38041_1,953,3250
STMMW_38261_1,198,576
STMMW_38241_1,113,310
STMMW_37951_1,260,829
STMMW_38001_1,222,786
STMMW_37971_1,1272,3714
STMMW_37771_1,992,2995
STMMW_37991_1,281,961
STMMW_38341_1,547,1721
STMMW_37831_1,564,1794
STMMW_38411_1,722,2158
STMMW_37811_1,944,3007
STMMW_38421_1,744,2379
STMMW_37871_1,70,200
STMMW_37851_1,1206,3861
STMMW_37852_1,88,209
STMMW_38051_1,416,1483
STMMW_37891_1,843,2415
STMMW_37941_1,341,1252
STMMW_38511_1,606,1986
STMMW_38381_1,479,1699
STMMW_38752_1,85,212
STMMW_38771_1,178,605
STMMW_38542_1,185,535
STMMW_38541_1,323,1090
STMMW_38851_1,190,656
STMMW_38661_1,1055,3463
STMMW_38581_1,1365,4305
STMMW_39041_1,541,1682
STMMW_38641_1,1386,4221
STMMW_39061_1,808,2612
STMMW_38621_1,995,3208
STMMW_39001_1,786,2607
STMMW_38601_1,310,1067
STMMW_39021_1,742,2498
STMMW_38561_1,288,855
STMMW_38971_1,758,2446
STMMW_38951_1,814,2579
STMMW_38781_1,672,2118
STMMW_38891_1,1088,3358
STMMW_38931_1,789,2523
STMMW_38681_1,651,2022
STMMW_38911_1,226,764
STMMW_38531_1,376,1226
STMMW_38701_1,729,2268
STMMW_38721_1,481,1634
STMMW_38571_1,456,1416
STMMW_38991_1,396,1251
STMMW_38741_1,226,791
STMMW_38551_1,589,1859
STMMW_38761_1,1176,3765
STMMW_38841_1,1036,3392
STMMW_38591_1,316,1016
STMMW_39051_1,1010,3148
STMMW_38671_1,780,2118
STMMW_38801_1,1116,3519
STMMW_39071_1,828,2682
STMMW_38651_1,292,968
STMMW_39011_1,976,2777
STMMW_38631_1,1015,3476
STMMW_38611_1,706,2273
STMMW_38961_1,912,2877
STMMW_38791_1,1332,4221
STMMW_38881_1,1384,4691
STMMW_38941_1,724,2417
STMMW_38521_1,1163,3463
STMMW_38921_1,887,2893
STMMW_38691_1,689,2101
STMMW_38901_1,914,2884
STMMW_38731_1,590,1957
STMMW_39101_1,1741,5900
STMMW_39191_1,515,1609
STMMW_39341_1,661,2039
STMMW_39571_1,366,1272
STMMW_39361_1,1626,5169
STMMW_39551_1,448,1397
STMMW_39301_1,458,1405
STMMW_39531_1,1559,5011
STMMW_39321_1,698,2353
STMMW_39181_1,598,1886
STMMW_39281_1,486,1755
STMMW_39491_1,1056,3381
STMMW_39221_1,1485,5004
STMMW_39591_1,423,1332
STMMW_39201_1,663,2046
STMMW_39411_1,506,1762
STMMW_39081_1,562,1661
STMMW_39621_1,408,1464
STMMW_39431_1,1137,3786
STMMW_39601_1,173,637
STMMW_39451_1,398,1249
STMMW_39481_1,336,1131
STMMW_39661_1,145,530
STMMW_39471_1,552,1797
STMMW_39561_1,1100,3256
STMMW_39681_1,913,3209
STMMW_39171_1,146,466
STMMW_39541_1,903,3093
STMMW_39521_1,866,2626
STMMW_39311_1,483,1380
STMMW_39501_1,504,1602
STMMW_39331_1,545,1858
STMMW_39291_1,1274,4270
STMMW_39231_1,652,2201
STMMW_39211_1,504,1647
STMMW_39091_1,739,2132
STMMW_39631_1,605,2122
STMMW_39401_1,981,3312
STMMW_39611_1,667,2294
STMMW_39421_1,451,1367
STMMW_39391_1,568,1718
STMMW_39671_1,340,1172
STMMW_39441_1,160,605
STMMW_39381_1,590,1849
STMMW_39651_1,413,1387
STMMW_39461_1,569,1771
STMMW_39931_1,685,2285
STMMW_39911_1,630,1989
STMMW_40481_1,306,981
STMMW_39891_1,585,1827
STMMW_40201_1,429,1434
STMMW_40051_1,266,706
STMMW_40261_1,650,2059
STMMW_39701_1,769,2381
STMMW_39851_1,815,2911
STMMW_40071_1,435,1266
STMMW_40531_1,145,575
STMMW_40241_1,494,1603
STMMW_39721_1,286,1001
STMMW_39871_1,661,2030
STMMW_40511_1,1054,3473
STMMW_39811_1,1018,3248
STMMW_40281_1,683,2287
STMMW_40571_1,391,1202
STMMW_40141_1,547,2000
STMMW_40551_1,714,2076
STMMW_40121_1,1029,3381
STMMW_40101_1,591,1893
STMMW_39981_1,634,2156
STMMW_40471_1,429,1362
STMMW_40081_1,194,751
STMMW_39921_1,311,1003
STMMW_39901_1,393,1407
STMMW_39682_1,86,247
STMMW_40491_1,541,1700
STMMW_40231_1,984,3138
STMMW_40001_1,605,2104
STMMW_39881_1,661,2030
STMMW_40271_1,685,2204
STMMW_40251_1,308,1195
STMMW_40521_1,632,1906
STMMW_39711_1,995,3235
STMMW_40061_1,526,1454
STMMW_40501_1,752,2281
STMMW_39731_1,1301,4171
STMMW_39861_1,623,2014
STMMW_40561_1,921,3075
STMMW_39801_1,419,1660
STMMW_40541_1,356,1102
STMMW_39821_1,1007,3142
STMMW_40151_1,732,2373
STMMW_40131_1,573,1938
STMMW_40111_1,889,2891
STMMW_39991_1,439,1469
STMMW_40461_1,559,1745
STMMW_40091_1,838,2609
STMMW_40641_1,203,751
STMMW_41011_1,375,1263
STMMW_40881_1,988,3143
STMMW_41031_1,522,1593
STMMW_40971_1,700,2189
STMMW_40601_1,1631,4966
STMMW_40951_1,582,1677
STMMW_41281_1,938,2932
STMMW_41071_1,3123,9549
STMMW_40931_1,738,2565
STMMW_40911_1,452,1456
STMMW_41131_1,600,1713
STMMW_41171_1,1301,4387
STMMW_40751_1,489,1500
STMMW_41151_1,552,1725
STMMW_40711_1,605,2068
STMMW_41191_1,519,1803
STMMW_41271_1,981,2997
STMMW_40841_1,1908,6048
STMMW_40591_1,715,2363
STMMW_41251_1,313,1055
STMMW_40651_1,878,2605
STMMW_41001_1,345,942
STMMW_40871_1,602,1729
STMMW_40981_1,635,2218
STMMW_40982_1,112,410
STMMW_41021_1,316,971
STMMW_40611_1,143,496
STMMW_40961_1,725,2362
STMMW_41041_1,382,1112
STMMW_41061_1,2855,9232
STMMW_40861_1,729,2286
STMMW_40921_1,273,807
STMMW_40901_1,968,3235
STMMW_41121_1,782,2620
STMMW_40741_1,826,2486
STMMW_41141_1,129,474
STMMW_40831_1,1203,3999
STMMW_41261_1,1007,3187
STMMW_40721_1,1549,4994
STMMW_40851_1,825,2631
STMMW_41181_1,328,1139
STMMW_41241_1,474,1605
STMMW_41221_1,366,1407
STMMW_40891_1,663,2091
STMMW_41211_1,499,1517
STMMW_40661_1,1798,5501
STMMW_41201_1,777,2418
STMMW_41771_1,1108,3527
STMMW_42101_1,800,3160
STMMW_41901_1,112,527
STMMW_41711_1,208,530
STMMW_41961_1,987,3261
STMMW_41381_1,1194,3477
STMMW_41731_1,542,1672
STMMW_41941_1,190,539
STMMW_42081_1,388,1511
STMMW_41891_1,68,274
STMMW_41791_1,824,2506
STMMW_41301_1,306,1008
STMMW_42021_1,250,767
STMMW_41321_1,1086,3720
STMMW_42061_1,442,1520
STMMW_41811_1,879,3198
STMMW_41361_1,614,1861
STMMW_42041_1,2072,6406
STMMW_41831_1,388,1106
STMMW_41991_1,483,1659
STMMW_41851_1,1735,5528
STMMW_41871_1,438,1389
STMMW_41421_1,619,1991
STMMW_41741_1,1448,4843
STMMW_41911_1,355,1193
STMMW_42001_1,298,953
STMMW_41971_1,815,2425
STMMW_41701_1,1116,3834
STMMW_41951_1,722,2194
STMMW_42091_1,912,3255
STMMW_41721_1,486,1521
STMMW_41291_1,1118,3652
STMMW_41881_1,1053,2925
STMMW_41311_1,644,2146
STMMW_42031_1,316,1052
STMMW_41781_1,817,2783
STMMW_41331_1,902,3013
STMMW_42011_1,238,833
STMMW_41371_1,2659,8654
STMMW_42051_1,82,269
STMMW_41821_1,684,2070
STMMW_41841_1,628,1991
STMMW_41981_1,858,2724
STMMW_41861_1,269,838
STMMW_41411_1,337,1283
STMMW_41751_1,307,926
STMMW_41921_1,937,2996
STMMW_41431_1,211,689
STMMW_41691_1,1038,3012
STMMW_42451_1,1026,2988
STMMW_42431_1,494,1513
STMMW_42601_1,928,3275
STMMW_42411_1,1075,3434
STMMW_42141_1,201,645
STMMW_42161_1,220,752
STMMW_42201_1,1269,3672
STMMW_42221_1,315,918
STMMW_42791_1,1228,3713
STMMW_42241_1,1245,3705
STMMW_42491_1,941,3127
STMMW_42261_1,1379,4498
STMMW_42281_1,934,3377
STMMW_42541_1,478,1682
STMMW_42731_1,250,794
STMMW_42711_1,409,1319
STMMW_42501_1,1049,3244
STMMW_42771_1,925,2801
STMMW_42191_1,1099,2951
STMMW_42341_1,1011,2922
STMMW_42521_1,1018,3005
STMMW_42831_1,406,1295
STMMW_42751_1,988,3323
STMMW_42811_1,574,2000
STMMW_42301_1,472,1544
STMMW_42651_1,560,2068
STMMW_42461_1,480,1806
STMMW_42441_1,1147,3785
STMMW_42421_1,783,2430
STMMW_42151_1,1104,3702
STMMW_42401_1,204,804
STMMW_42171_1,334,1043
STMMW_42231_1,551,1519
STMMW_42781_1,213,669
STMMW_42251_1,232,713
STMMW_42481_1,604,2195
STMMW_42721_1,1287,3825
STMMW_42551_1,1166,3730
STMMW_42391_1,284,1048
STMMW_42761_1,364,1184
STMMW_42181_1,476,1531
STMMW_42741_1,917,2638
STMMW_42351_1,410,1426
STMMW_42531_1,170,631
STMMW_42821_1,749,2338
STMMW_42801_1,250,866
STMMW_42471_1,1538,5275
STMMW_42641_1,180,684
STMMW_42311_1,768,2103
STMMW_42861_1,253,701
STMMW_42841_1,114,327
STMMW_42881_1,276,804
STMMW_43281_1,201,717
STMMW_43021_1,322,1055
STMMW_43001_1,810,2655
STMMW_43241_1,556,1694
STMMW_43061_1,207,720
STMMW_43471_1,1318,4514
STMMW_43261_1,684,2511
STMMW_43041_1,1379,4192
STMMW_42911_1,1271,4102
STMMW_43431_1,448,1541
STMMW_43221_1,223,740
STMMW_43081_1,894,2886
STMMW_42931_1,1053,3456
STMMW_43411_1,500,1489
STMMW_43381_1,340,1010
STMMW_42971_1,752,2479
STMMW_43361_1,213,732
STMMW_43101_1,978,2919
STMMW_43321_1,470,1591
STMMW_43301_1,464,1489
STMMW_42871_1,381,1221
STMMW_42851_1,392,1372
STMMW_42891_1,286,902
STMMW_43031_1,989,2971
STMMW_43011_1,1191,3453
STMMW_43461_1,281,880
STMMW_43251_1,518,1750
STMMW_43071_1,918,2925
STMMW_43441_1,766,2132
STMMW_43051_1,689,2164
STMMW_42901_1,489,1716
STMMW_43211_1,1166,3703
STMMW_42921_1,671,2263
STMMW_43401_1,452,1456
STMMW_43231_1,240,750
STMMW_43092_1,152,442
STMMW_43091_1,712,2303
STMMW_43391_1,690,2091
STMMW_42961_1,698,2209
STMMW_43371_1,163,521
STMMW_43111_1,302,976
STMMW_42981_1,376,1262
STMMW_43351_1,257,931
STMMW_43131_1,527,1669
STMMW_43331_1,186,642
STMMW_43311_1,589,1976
STMMW_43851_1,214,695
STMMW_43501_1,187,632
STMMW_43521_1,430,1487
STMMW_43951_1,313,1082
STMMW_43541_1,2765,8575
STMMW_44481_1,424,1403
STMMW_43971_1,100,413
STMMW_44111_1,693,2106
STMMW_44191_1,360,1152
STMMW_43791_1,371,1285
STMMW_44561_1,548,1657
STMMW_44541_1,732,2310
STMMW_44091_1,1083,3129
STMMW_44151_1,685,2330
STMMW_43881_1,842,2560
STMMW_44501_1,559,2177
STMMW_44051_1,664,2144
STMMW_44261_1,781,2468
STMMW_43591_1,694,2303
STMMW_44031_1,288,873
STMMW_43801_1,978,3081
STMMW_43491_1,383,1291
STMMW_43861_1,567,1764
STMMW_43511_1,926,3106
STMMW_43981_1,1078,3881
STMMW_43531_1,1226,3976
STMMW_43551_1,227,808
STMMW_44121_1,858,2805
STMMW_43961_1,1448,4969
STMMW_43901_1,557,1666
STMMW_44161_1,253,998
STMMW_43921_1,1392,4530
STMMW_44571_1,635,2092
STMMW_44141_1,317,1042
STMMW_44081_1,340,1127
STMMW_44551_1,372,1221
STMMW_44531_1,514,1808
STMMW_43891_1,797,2560
STMMW_44041_1,312,1074
STMMW_44511_1,331,1055
STMMW_44251_1,813,2490
STMMW_44061_1,72,234
STMMW_44231_1,1095,3441
STMMW_43581_1,360,1233
STMMW_44001_1,690,2154
STMMW_44211_1,1944,6624
STMMW_43831_1,246,771
STMMW_43481_1,522,1701
STMMW_43811_1,272,889
STMMW_45101_1,956,3013
STMMW_44621_1,926,2629
STMMW_44991_1,723,2364
STMMW_44871_1,1529,5050
STMMW_44661_1,966,3147
STMMW_45281_1,468,1476
STMMW_44641_1,969,2757
STMMW_44581_1,908,2611
STMMW_45221_1,1035,3114
STMMW_44891_1,483,1731
STMMW_45051_1,789,2433
STMMW_45201_1,485,1450
STMMW_45071_1,611,1981
STMMW_45261_1,236,745
STMMW_45241_1,1201,3803
STMMW_45031_1,1108,3662
STMMW_44901_1,376,1244
STY1774_1,23,112
STMMW_44961_1,584,1783
STMMW_44941_1,490,1535
STMMW_45091_1,573,1821
STMMW_44771_1,116,496
STMMW_45421_1,110,313
T_RS21320_1,1133,3907
STMMW_45111_1,875,2797
STMMW_44631_1,913,2903
STMMW_44981_1,177,534
STMMW_45291_1,618,1992
STMMW_44591_1,351,1035
STMMW_45042_1,130,356
STMMW_45041_1,435,1419
STMMW_45231_1,809,2971
STMMW_44881_1,320,1066
STMMW_45061_1,573,1749
STMMW_45211_1,716,2191
STMMW_45001_1,329,985
STMMW_45271_1,382,1166
STMMW_45021_1,472,1571
STMMW_45251_1,1345,4577
STMMW_44931_1,494,1684
STMMW_44911_1,350,1072
STMMW_45431_1,505,1556
STMMW_44971_1,766,2429
STMMW_45081_1,1121,3532
STMMW_45411_1,488,1663
STMMW_44951_1,334,1043
STMMW_45121_1,505,1655
T_RS21325_1,297,963
t1733_1,168,579
A464_RS09845_1,123,507
A464_RS09865_1,516,1734
A464_RS09700_1,315,1053
A464_RS09745_1,527,1624
ACT04_RS20980_1,2001,6144
A464_RS22785_1,159,624
ACT03_RS23555_1,409,1292
APS44_RS23765_1,692,2476
ARA94_RS03000_1,243,963
APS44_RS23725_1,320,1066
APS44_RS23735_1,1140,3936
AH83_RS04270_1,258,939
ACT04_RS15865_1,142,506
A464_RS22650_1,187,614
A464_RS22635_1,1768,6053
ARC00_RS04815_1,906,2991
ARC58_RS25325_1,1215,4086
ARC00_RS01990_1,271,917
ARC00_RS24710_1,232,722
ARC00_RS25040_1,776,2113
ARC00_RS01985_1,571,1823
ARC00_RS25065_1,580,1850
ARC00_RS06315_1,257,949
ARC00_RS11650_1,728,2611
ARC00_RS02905_1,203,661
AT698_RS05795_1,596,2284
ARC00_RS24745_1,256,806
ARC00_RS01550_1,289,1115
ARC00_RS17575_1,987,3288
AS586_RS02590_1,208,764
ARC00_RS25070_1,202,653
ARC58_RS17290_1,156,519
ARC00_RS24945_1,138,438
AT698_RS20580_1,403,1541
AT698_RS20585_1,1004,3271
AT698_RS16315_1,515,1699
AT698_RS20520_1,834,2856
AW50_RS02840_1,382,1553
AT698_RS20010_1,136,485
AT698_RS16150_1,837,2565
AT698_RS16300_1,862,3026
AT698_RS16285_1,1899,6066
AT698_RS05875_1,548,1918
AW50_RS03075_1,1552,4955
AT698_RS05895_1,121,572
AT698_RS15335_1,117,441
AT698_RS16225_1,1554,4548
AW67_RS16925_1,144,567
AT698_RS18125_1,1223,4735
CFSAN001588_RS03465_1,651,2094
CFSAN001588_RS22530_1,215,946
CFSAN001588_RS22510_1,281,1033
CFSAN000658_RS02055_1,893,3400
CFSAN001588_RS19435_1,3454,11792
CFSAN001588_RS22605_1,266,832
CFSAN000658_RS12350_1,112,428
CFSAN001588_RS19425_1,250,812
CFSAN001588_RS22655_1,767,2464
c341_gp18_1,110,322
CFSAN001588_RS22525_1,244,1034
BN2442_RS24535_1,122,427
CFSAN001588_RS12550_1,94,437
CFSAN001080_RS05715_1,136,512
CFSAN001588_RS22645_1,423,1611
AW90_RS06250_1,5248,16685
CFSAN002050_RS06510_1,273,996
CFSAN001992_RS06475_1,1521,5301
CFSAN001992_RS09595_1,131,535
CFSAN001992_RS09605_1,204,606
CFSAN001992_RS20115_1,307,881
CFSAN002050_RS02615_1,321,1065
CFSAN002050_RS09970_1,118,431
CFSAN001992_RS00050_1,235,764
CFSAN001921_RS03260_1,258,795
CFSAN001921_RS24535_1,572,1912
CFSAN001992_RS22640_1,158,517
CFSAN001921_RS23850_1,294,1002
CFSAN001921_RS24620_1,944,3052
CFSAN001992_RS22665_1,167,508
CFSAN002050_RS03405_1,851,2713
CFSAN001992_RS22655_1,457,1442
CFSAN002050_RS03350_1,195,741
CFSAN002050_RS04385_1,259,776
CFSAN001992_RS22660_1,132,471
CFSAN001992_RS22745_1,618,2361
CFSAN002050_RS03355_1,512,1630
CFSAN002050_RS03390_1,907,3062
CFSAN001992_RS00085_1,153,594
CFSAN002050_RS04300_1,618,2208
CFSAN002050_RS04305_1,1106,4024
CFSAN001992_RS00065_1,171,630
CFSAN001992_RS11565_1,1620,5742
CFSAN002050_RS06455_1,3196,10304
CFSAN002050_RS04325_1,124,497
